Name,Location,Nearby,Description
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672074, 85.427638","Rameshwor temple; one temple beyond the walls
19.86 m
Kedarnath temple; one shikhara styled brick paved Shiva temple
31.01 m
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square
0 m
Badrinath temple; one out of the Char Dham temples of Bhaktapur
18.29 m","Within the premises of Bhaktapur durbar square, you can encounter different types of temples. Among them, the very first pagoda styled temple which you will encounter, while entering from the western gate to the Bhaktapur durbar square will be the Radhakrishna temple.
Yes, the temple is one of the best examples of spectacular wood carvings which you can observe on the doors and windows of the temple. The temple is one which is made out in traditional Nepalese style among Char Dham temples of Bhaktapur Durbar Square.
Also, the struts, are filled with the images of incarnations of Lord Vishnu and other deities. That makes this temple more refined and elegant.
This temple is popular as the Radhakrishna temple but alternatively, also recognizes under the name of Gopinath temple. Furthermore, This temple is also famous as the dwarikanath temple because of a statue established inside this temple.
The statue established inside the temple is of Lord Krishna. That seems more artistic and admiring. Not only the statue of Lord Krishna but also the statue of Balram and Radha are beautifully placed over there.
There is a guarding image of two stone lions and a standing pillar in front of the temple, which consists of a garuda image on its top. "
Jagannath temple; the temple of wooden Krishna,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.6721° N, 85.4281° E","Rameshwor temple; one temple beyond the walls
62.5 m
Kedarnath temple; one shikhara styled brick paved Shiva temple
28.99 m
Radhakrishna temple; the perfect pagoda of Bhaktapur Durbar Square
45.6 m
Badrinath temple; one out of the Char Dham temples of Bhaktapur
63.82 m","The ancient evidence says that King Bhupatindra Malla is responsible for the erection of the Chardham temples of Bhaktapur. Along with the Jagannath temple, he also commenced the Badrinath temple, Kedarnath temple, and Rameshwar temple.
Yes, however, this Jagannath temple consists of a place among char Dham temples.
The current temple of Jagannath seems quite ordinary covered with a tin roof.  This one-story temple was three times bigger and of two stories on its erection. The ruinous earthquake of 1934 A.D. somehow spectacularly affects the physical appearance of this temple.
Nowadays, we can see a simple architecture assembled over there. So, it can protect the beautiful wood sculptures of Lord Krishna, Balaram, and Subhadra, erected inside the temple.
Image of Jagannath
The Jagana God Jatra
This, Jagana God Jatra is a very minor jatra of Bhaktapur. That is not forgotten continuously now. According to the events of the lunar year, this event falls on the second day of Dillathwa.
Yonder, dillathwa means the starting days of the ninth month, as of the Nepal sambat. On the occasion of the day, the statue of Jagannath is worshipped by its Pujari. That, with a special ritual. Meanwhile, a small group of people carries away the diety to roam the city."
Chyasalin mandap; It’s not a temple,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671989, 85.428588","Nyatapola Temple: the tallest pagoda style temple of Nepal
161.88 m
Layekuhiti ( Sunken hiti); the stone conduit of Bhaktapur Durbar Square
6.7 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
22.21 m
Yakshyeshwor temple; the Pashupatinath temple of Bhaktapur
28.15 m
55 window palace; the palace of mysterious carvings
51.52 m","The octangular Chyasalin mandap pavilion is not a temple, despite the fact that most people mistake it for one.
Despite the fact that it is only a pavilion, it is one of the most stunning constructions of the Malla era. The kings of Bhaktapur, however, were not responsible for its construction. The entire credit goes to King Srinivas Malla, the then-King of Lalitpur who erected it as a sign of friendship.
Aside from that, there is an intriguing story concerning the Chyasalin mandap’s construction, which explains why it was built between the Pashupatinath temple and the 55-window palace. There is a Hindu concept that one should not live in front of the glorious deity.
And living directly in front of the Pashupatinath shrine was bad for both the king and the kingdom. Thus, Chyasalin Mandap is reported to be built in between them to avoid the temple’s powerful aurora from directly striking the palace.
This venue once was also a popular choice for the poetry contest. According to published knowledge, King Bhupatindra Malla and his consort once held a poetry competition at this spot.
This pavilion was also used to welcome royal guests, observe festivals, and enjoy the breathtaking sunset views.
Unfortunately, it was destroyed by the catastrophic earthquake of 1934 A.D. and lost its original form. Later, in 1992 A.D., the German architects graciously reinstall this covering at its original speed. They used steel and the ruins of the old chyasalin mandap there. As a result, it was completely impervious to the April 2015 earthquake."
Lanpadegal; the images of two stone lions,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672027, 85.429012","Nyatapola Temple: the tallest pagoda style temple of Nepal
152.47 m
Siddhi Laxmi temple; a platform to enjoy the breathtaking festivals of Bhaktapur
90.2 m
Silu Mahadev; the tallest temple of Bhaktapur Durbar Square
41.71 m","Lanpadegal is a representation of two monolith lions posing in front of Phashidegal. Yes, these are the shielders that allow you to ride in them and take selfies with the Bhaktapur Durbar Square as your backdrop.
Meaning of Lanpadegal
Coming to the lanpadegal, lanpadegal is the local name of those stone lions. Meanwhile, People started calling those stone lions lanpadegal. Because it stands as an obstruction in the road.
The lanpadegal consists of three newari words. Lan, pa, and dega ( degal). That means road, obstruction, and temple respectively. Therefore, people know this temple as a temple bothering the road. According to this, lanpadegal became the name of this site.
Lanpadegal, before the quake
There was a lovely three-story pagoda-style temple with an outstandingly artistic Harihar statue. According to legend, there were three Harihar temples within the durbar square, and this temple was one of them.
Aside from that, we are grateful that Harihar’s statue has been saved. It is now on display at the National Art Museum. And, those magnificent lions were established in front of the temple before the catastrophic earthquake of 1934 AD occurred in Nepal. Unfortunately, during the tragic earthquake of 1934 AD, that temple fell and was never rebuilt.
Nevertheless, you still can have a glimpse of stone-carved statues of lions as a chunk of that off-course temple."
Silu Mahadev; the tallest temple of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672402, 85.429017","Lanpadegal; the images of two stone lions
41.71 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
67.24 m
Nyatapola Temple: the tallest pagoda style temple of Nepal
193.49 m
55 window palace; the palace of mysterious carvings
72.62 m","Silu Mahadev is tallest temple of Bhaktapur durbar square. Devotees of Shiva worship this temple. Yet, most of the people call this temple Phasidega or Phasidegal rather than Silu Mahadev. Of course, due to the reason for its pumpkin-like architecture.
Moreover, this shikhara style temple stands right in the northeast corner of the 55 window palace. You can easily get that temple while you enter out from Bhaktapur durbar square to the east.
Also, the established guarding stones will help you to identify that temple. Those guarding stones include a pair of elephants, lions, and bulls. Somehow, these standing monoliths in front of this dome-like temple made you pass its five-layer platforms.
People believed that those five layers of platforms might be the symbol of Pancha Maha Preta. The Pancha Maha Preta include Rudra, ishwor, Vishnu, Brahma, and Sadashiv. The temple is blessed with the Shiva linga which was a mystery until the quake of 2015.
History says that during the reign of king Jitamitra Malla this temple came into existence. Although there is a want of resources about the erection of this temple. 
Silu Mahadev, after the earthquake of 2015
After the devastating earthquake of April 2015. That earthquake turned the temple into a plain space. Well, this is also a fact about this temple. That it was the least harmed temple of 1934’s earthquake among the structures of Bhaktapur durbar square.
But drastically, the earthquake made out some changes in the structure of that temple. Also, it holds a little damage to its pinnacle. And for now, it is in the under-construction process."
Taleju bell ( Tagoun Ghan); the big bell of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672008, 85.428411","Layekuhiti ( Sunken hiti); the stone conduit of Bhaktapur Durbar Square
17.45 m
Nyatapola Temple: the tallest pagoda style temple of Nepal
172.08 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
12.13 m
55 window palace; the palace of mysterious carvings
41.62 m","The durbar square is a package of surprises, wherein every single step you find an alien creation. The giant bell in front of the golden gate is one among them.
The taleju bell is a symbol of devotion toward the goddess taleju, who is stoked inside the royal palace. It is said that the bell is rung during the worship of the goddess taleju.
The big bell is hung in an open platform above the four stone pillars. Factually, you can have a close glimpse of the statue of king bhupatindra Malla and the durbar area from that open platform.
Nevertheless, this enormous and astounding bell is one’s pennyworth of  King Ranjit Malla. The inscription mentioned on that bell authenticates that it commenced on Thursday, 6 January 1737 AD.
So, don’t miss out on a chance to take advantage of this beautiful creation, while you are in Bhaktapur."
Layekuhiti ( Sunken hiti); the stone conduit of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671932, 85.428566","Vatsala Durga Temple; after the devastating earthquake of 2015
16.74 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
25.39 m
55 window palace; the palace of mysterious carvings
55.65 m","Along with the temples and palaces, there is a magnificent stone spout named Layekuhiti in Bhaktapur durbar plaza. Layekuhit literally translates to the palace’s stone conduit.
It is stated that the conduit was created to facilitate water for the prayers of adjacent temples, notably Taleju Bhawani, the supreme god of the Malla dynasty. (Taleju temple is located in the palace’s inner courtyard, where non-Hindus are not permitted.)
Aside from its religious significance, the conduit is best recognized for its stunning stone sculptures and carvings. The mouths of conduits are engraved with crocodile and frog-like creatures. Above the water conduit, there is also a tantric image of five-faced bhairava and shakti.
King Bhupatindra Malla is claimed to have repaired this water conduit. Due to a lack of funding, its erection remained a mystery. As a basis, it is assumed that this hiti was already in place while the Yaksheswor temple was being built.
The tap, on the other hand, no longer strained the water. However, it was formerly a popular supply of drinking water for both visitors and pedestrians too."
Changu Narayan temple; the oldest temple of Nepal,"Changu Narayan Temple courtyard, Changu Narayan Municipality, Bhaktapur District, Nepal.
27.716357, 85.427949","Kileshwor Mahadev Temple; A Shiva temple on the premises of Changu
13.11 m
Nagarkot: the paradise of Bhaktapur
8.89 km
Chinna Masta Temple; a temple dedicated to the Goddess Kali
14.28 m
Chaling: a temple-like place for yoga practitioners
3.54 km","Bhaktapur, commonly known as the “city of worshippers,” is also known as the “city of temples.” Among those various numbers of temples, Changunarayan Temple, without a doubt, is an epic specimen of art and architecture from the Lichhavi time period. It is also titled the oldest temple in Nepal.
Changu Narayan temple
This two-story Vishnu temple is claimed to be built in neither pagoda nor shikhara style. However, it is in the pagoda style. This traditional Nepali-styled temple preserves the history of the lichhavi dynasty to the present day.
In addition, it was designated a UNESCO World Heritage Site in 1979, along with the Bhaktapur Durbar Square.
This famous shrine is located at the peak of Bhaktapur, a northern hill station. In terms of distance, it is around 7 miles from Kathmandu. The inscriptions and sculptures discovered in this temple are considered to be the oldest, dating back to 464 C.E. Thus, it is assumed to be established by King Manadeva, one of the greatest monarchs of the lichhavi kingdom.
The temple’s structure includes four doorways, one facing each direction. All of the entrances are guarded by a pair of lions, sarabhas, gryphons, and elephants on either side.
Stone images of elephant at Changu Narayan temple
The temple’s main entrance (western gate) is an exquisite wedge adorned with serpent decorations. Not only the gates but also the struts are covered in intricate wood carvings. The carvings of Lord Vishnu’s eleven avatars and other deities are purely a visual diversion.
An image of Narsimha at the struts of Changu Narayan temple
Within the premises of Changu Narayan Temple
The Changu Narayan Temple itself comes into the premises of Changu Narayan Temple, at most prime. Then comes the Chinna Masta Temple, which has the sacred deity, Chinna Masta in it. Similarly, in the same row of Chinna Masta Temple, there is another beautiful but tiny one, the Kileshwor Mahadev temple.
Chinna Masta Temple
It is small though but has the most beautiful engraved struts.
Kileshwor temple of Changu
With these magnificent beauties, it has a lot of stone images of Lord Vishnu. And, foremost almost all of them were carved in the 6th or 7th centuries. Where they all depict a different story and incarnations of Lord Vishnu.
Narshima-Changu Narayan Temple
The statue of Vishnu Vikrant, Narshima, Vaikuntha Vishnu, and Vishworup. Plus, Shridhar Vishnu, Garuda Narayan, or Chanda Narayan, Statue of King Bhupalendra Malla and Queen Bhuvan Laxmi. These statues are simply gratifying the space of Changu.
According to the evidence, King Bhupatindra Malla was also involved in the renovation of the Changu Narayan temple.
Nonetheless, it has practically all of Lord Vishnu’s faces on its premises. And, yes, there is a rest stop on the corner."
Bhairavanath temple; the most reputable and darkest temples of Bhaktapur,"Taumadhi Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671039, 85.429520","Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
161.94 m
Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
645.86 m
55 window palace; the palace of mysterious carvings
191.35 m
Nyatapola Temple: the tallest pagoda style temple of Nepal
44.73 m","Bhairavanath temple is one sacred temple of Bhaktapur that lies at the central square of Bhaktapur, Taumadhi Square. This temple devoted to lord bhairava is one of the rectangular based temples of Bhaktapur. One could easily recognize this temple as it lies right behind the giant Nyatapola temple.
The Bhairavanath established in this temple is a formidable incarnation of lord shiva, who also prefers to name Kasi Vishwanath and Aakash bhairava. He is somehow famous for his obstreperous and stubborn character. 
Renovative history of Bhairavanath Temple
The shreds of evidence say that the temple was first inaugurated by King Ananda Deva in the 13th century. However, that area, before the establishment of the temple was already popular for the Shaivism pilgrims. It was well known as Lalitmaheshwor. Regarding which there are inscriptions found in the temple.
But, it was definitely not triple-roofed, then. During the reign of King Vishwa Malla, the temple was gracefully restored in a one-storeyed temple.
After, King Jagatjyoti Malla decorated it with golden roofs.
Likewise, in N.S. 788, King Jagat Prakash Malla established his own image along with his minister Chandrashekhar in the temple while having a grand worshipping.
Later on, King Bhupatindra Malla modified it into a triple roofed temple at around N.S. 837-38 (1718 AD) and added the seven golden pinnacles in it. (Renovation of Bhairavanath temple, Bhaktapur Municipality)
The reconstruction took time after the engineering of the Nyatapola temple.
Know more about the Malla kings of Bhaktapur.
By worse luck, the devasting earthquake of 1934AD collapsed it.  And optimistically reassembled in the same structure. The ruinous earthquake of April 2015 again, made this temple renovated. It also destroyed the tiny way, passing through the betal temple. That ultimately leads toward the interior part of the Bhairavanath temple.
The anecdote about Bhairavanath
With a renovative history, this temple also owns an interesting anecdote, passed orally by our ancestors. According to this, the lord bhairava of Varanasi once visited Bhaktapur to see bisket jatra.
Bisket jatra is one of the biggest jatras of the newar people. During the festival, the lord Bhairava somehow was recognized by a priest and he just cast a decoy spell on him. 
As a quick reaction, he started to sink into the terra firma to go back to Varanasi. But the priest didn’t let him go. As if, he grabs the head of Bhairava in his hand and decollates him with his sword. That’s why people say that the head doesn’t match the body of Kasi Vishwanath. It is also believed that the head is still treasured in a box of this temple."
Yakshyeshwor temple; the Pashupatinath temple of Bhaktapur,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671761, 85.428464","Nyatapola Temple: the tallest pagoda style temple of Nepal
146.17 m
Layekuhiti ( Sunken hiti); the stone conduit of Bhaktapur Durbar Square
21.51 m
Vatsala Durga Temple; after the devastating earthquake of 2015
23.04 m
55 window palace; the palace of mysterious carvings
69.45 m","The Yakshyeshwor temple or the Pashupatinath temple of Bhaktapur is one of the best contributions of the Malla dynasties. The temple still stands in between us, right behind the Vatsala Durga temple within the courtyard of Bhaktapur Durbar Square.
However, the temple today is praised as one of the oldest temples of Bhaktapur. The shreds of evidence say that it dates back to 1475AD. That means it was contributed to the hand of King Yakshya Malla.
Yes, the king Yakshya Malla, who ruled over  Bhaktapur from 1428 to 1482 A.D. He also made Bhaktapur a strong fort and expanded its territory.
More about the Malla kings of Bhaktapur.
Besides, this two-storeyed temple seems like one of the most beautiful examples of pagoda tradition, not only in Bhaktapur but also in the whole of Nepal. The temple is utterly filled with the then’s woodcarvings and its beauty.
All of the twenty-four wooden struts of the temple have different images of shiva and shakti. Even the doors have mythical characters, telling us untold stories. You can have a gander at those perfect carvings but their postures are a kind of erogenous.
Those postures are based on the traditional erotic text Kamasutra.
You can easily recognize this temple. Cause it looks completely different from the Vatsala Durga temple which stands behind it. Moreover, people recognize this temple as the Pashupatinath temple too.  And, that’s because it has a phallus established in the temple which looks like as in the original Pashupatinath temple of gaushala, Kathmandu."
"Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal","Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673737, 85.435326","Brass and Bronze museum of Bhaktapur, Nepal
26.38 m
Bhimsen temple of Bhaktapur: the temple of trade master
60.45 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
945.42 m","Dattatraya temple is a circular styled (mandala-styled) temple that holds the prestige of being the only shrine, devoted to Dattatreya in Nepal. Though there is no such image of Dattatraya in the temple as normally, common people perceive (the image of Datttraya with three heads in one body- a combined form of Lord Shiva, Vishnu, and Bramha). 
OUTLINES OF CONTENTS
History of Dattatraya temple
More about Dattatraya Temple
The erotic carvings
The statues of Jaimal and Pratap
The story behind stone pillars
The temple is made out of one single tree
Instead, there lies the three images of Lord Dattatraya- Som, Durbasha, and Dutt accordingly on the left, middle, and right of the temple. 
This is the temple of Dattatreya yet, the symbols like garuda, conch, and chakra in front of the standing pillars of the temple show the priority of Lord Vishnu over there. In spite of that, the festivals and celebrations related to Lord Shiva seem to attract more devotees over here.
Every year, a large number of devotees from nearby districts Kathmandu, Lalitpur, and Kavre throng to Dattatreya temple for the worship of Lord Shiva every Monday in the month of Shrawan and every Wednesday in the month of Poush.
Likewise, during Teej and Sila Charhe (Maha Shiva Ratri), devotees from across the nation (especially from India) pay their devotion to Dattatraya prior to and after visiting Pasupatinath Temple.
Dattatraya temple
History of Dattatraya temple
The Dattatraya temple is also considered one of the major as well as oldest temples of Bhaktapur.
King Yaksha Malla, who ruled over the entire Nepalmandal from 1428 A.D. to 1482 A.D. is supposed to be the erector of this temple. As per the book, Illustrated Biography of Lord Duttatreya And His 24 Mentors, this temple was built in Nepal Sambat 590 (1470 A.D.) and was only single-storeyed then.
However, it is mentioned that the temple was opened to the public onward 1486 A.D, only after the demise of King Yakshya Malla, of course, before the reconstruction made by King Raya Malla (the son of King Yakshya Malla). He made it more attractive by adding stories to it in Nepal Sambat 615 (1495 A.D).
Wanna know more about the contributions of Malla Kings? Then the following link must be of your interest.
Malla Kings of Bhaktapur
Furthermore, the name of King Visva Malla also took its place when we talk about the overhanging balcony of the temple that was set up by him in 1548 AD.
Besides these dates of erections, there are other dates that enrol the history related to the Dattatraya temple. It is presumed that in 1769 A.D. when King Prithivi Narayan Shah conquered both Kathamndu and Patan before Bhaktapur, the king of those kingdoms, King Jaya Prakash Malla and Narsimha Malla respectively took shelter in this temple.
However, there is no documentation found about this statement that particularly mentions whether they hide in the Dattatraya temple or in the Bhaktapur Palace Complex. But, yes, they were given shelter in Bhaktapur.
More about Dattatraya Temple
Graphically, this temple stands in the eastern part of the Dattatreya square, commonly known as the Tachupal Tole where one can witness the liveliness of the devotees, the street markets, and youths with a cup of tea discussing various things, in the evening. Where also the devotees set their seats under the pedestals of the temple and make the environment so divine.
The erotic carvings
Well, this temple is not only counted as important because of its religious status but also because of the reflections of the ancient arts and architecture. Anyhow, that is knocked up in erotic ways. The first floor of the temple is filled with these kinds of carvings just like in the Pasupatinath temple of Bhaktapur Durbar Square.
erotic carving at Dattatraya temple
If you could notice there is even an image of a man holding some guitar-like instruments among the carvings.
How could anyone explain these kinds of carvings? Could it be just the imagination or there was such a civil society back there in Nepal?
Just like that, there are numerous things to ponder around Dattatraya Square.
The statues of Jaimal and Pratap
You can also see the statues of Jaimal and Pratap (Pattu) in front of the main entrance of this temple guarding as in the Nyatapola temple. They might represent the Rao Jaimal of Rathore, ruler of Badnor, and Patta of Kelwa, 16 years old defenders of the Chittor since they are always mentioned together for their bravery.
A statue established in front of the Dattaraya temple
One statue established in front of the Dattatraya temple
The story behind stone pillars
In front of the Dattatraya temple, one can observe a tall pillar upon which an idol of Garuda (vehicle of Lord Vishnu) is bidding Namaste toward the temple. Visitors who are quite unfamiliar with the Hindu religion might wonder what’s so special about this statue.
Well, it is quite rare to discern this tall pillar of an idol of Garuda in entire Nepal. Also, the facial structure of the statue seems quite unique as it was first considered to have been placed with a motive to set the statue of monk Dev Narayana Giri.
Garuda Dattatraya
But, the monograph did not let that happen, saying that the mortal should not be put higher than the God thus, it ended in a form of Garuda instead of the statue of the mentioned monk. The statue is fairly called the statue of Mahant (the monk) more than of a garuda.
The temple is made out of one single tree
There is a popular anecdote about the Dattatraya temple that says the whole temple f Dattatraya was built with the timbers of a single tree-like as in the darn of Kasthamandapa. "
Siddhi Laxmi temple; a platform to enjoy the breathtaking festivals of Bhaktapur,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.6721 , 85.4281","Nyatapola Temple: the tallest pagoda style temple of Nepal
197.75 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
31.09 m
Chyasalin mandap; It’s not a temple
49.63 m
55 window palace; the palace of mysterious carvings
34.35 m","Siddhi Laxmi temple of Bhaktapur Durbar Square is also called Lohan Dega, the stone temple. It was first positioned by King Jagat Prakash Malla on the southeast side of 55 windowed palaces. The temple is as beautiful as the Vatsala Durga temple but undoubtedly has more guardians.
As per some folk talks, the very first pair of guardians of the temple is related to the then’s society and human behaviour. It simply shows what happens when a child is raised by a father or a mother. The difference is shown there, all you need to do is go and find it.
Statue at Siddhi Laxmi temple
The fifteen steps stair of this temple somehow is the most attractive wedge, particularly one perfect spot for photography as well. There is a total of five plinths in the temple, where each plinth has a pair of a guardian.
As already mentioned, the very first plinth has a couple with a child and a dog with them, depicting an exciting story. Then comes the horses, rhinos, human-faced creatures, and at last, the camels. And here comes the things to ponder. 
Statue of Camel at Siddhi Laxmi temple PC: OLYMPUS DIGITAL CAMERA
Aren’t they quite unusual pairs to establish on the plinths of a temple? Besides, why camels and rhinos? They are not even found in Bhaktapur and possibly not found even in the nearby places of Bhaktapur.
Well, whatever might be the story behind it, they are now placed respectively from bottom to top. Besides these stunning stone carvings, this venerable temple set out a platform to enjoy the breathtaking festivals of Bhaktapur like Gai Jatra."
The most fascinating Statue of King Bhupatindra Malla,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672017, 85.428410","Vatsala Durga Temple; after the devastating earthquake of 2015
6.43 m
55 window palace; the palace of mysterious carvings
40.63 m
Taleju bell ( Tagoun Ghan); the big bell of Bhaktapur Durbar Square
1.01 m
Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
11.13 m","The statue of King Bhupatindra Malla is one of the finest examples of metallic artworks, available in Bhaktapur. However, you have to go to the Taleju Bell (Tagou Ghan) to have a close-up sight and study the details of the statue.
The artwork on that representation of King Bhupatindra Malla is simply outstanding. This golden masterpiece is staged right opposite the golden gate, facing toward the north direction at Bhaktapur Durbar Square. 
You might also notice that this statue is quite different from most of the other king’s statues. Normally, the king’s statues portray their bravery. But, this statue, here shows the devotion of a king toward their worshipped deity.
Moreover, the figure of the king is posed in crossed leg posture, above the seats of snake (Naagaashan), lotus (Padmaashan), and lions on four corners (Simhaashan) of the pillar. The joined hands and a bowing head of the king is a rare scene to depict which you could encounter over there.
The statue of King Bhupatindra Malla has a bullet wound in the leg from the battle of Bhaktapur (November 10-12, 1769 A.D.).
So, don’t miss out on a chance to allocate it while you are in this ancient burg, Bhaktapur."
Nyatapola Temple: the tallest pagoda style temple of Nepal,"Taumadhi Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.670682, 85.429311","Golden gate; an alluring masterpiece of Bhaktapur Durbar Square
182.39 m
Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
683.02 m
55 window palace; the palace of mysterious carvings
212.82 m
Bhairavanath temple; the most reputable and darkest temples of Bhaktapur
44.73 m","Nyatapola is a five-storeyed ancient temple that makes each Bhaktapurians feel so proud. People may have very little knowledge about Bhaktapur city. But, within that tatter of knowledge, they put a page where the mysterious stories of Nyatapola always breathe.
OUTLINES OF CONTENTS
Which God is in Nytapola Temple?
Who erected Nyatapola?
Statues and struts
Statues of Guardians
Statue of Shiddhi Laxmi
Drighu Ganesh
The stone tap
The struts
Some interesting facts about the Nyatapola temple
Nyatapola, at present
Explaining its accessories. There are 5 Ganesha, 5 tiers, 5 plinths, 33 steps, 108 struts, and  360 battens used in the temple. Whereas, all these numbers have a significant role in tantrism. Besides, it dubiously shows the tantric influence of that time.
Nyatapola Temple
Which God is in Nytapola Temple?
Goddess Shiddhi Laxmi, the powerful tantric goddess, is inside Temple.
Who erected Nyatapola?
Whenever we talk about the Malla kings’ of Bhaktapur, the very first name that strikes our mind is King Bhupatindra Malla. Right? Perhaps, because of the statue of King Bhupatindra Malla that was pleasantly postured in front of the Golden Gate of the Durbar Square.
Despite that, we remember him as an ideal King of Bhaktapur. Of course, he contributed a lot to the art and architecture of this tiny burgh. There, Nyatapola comes among them. 
Statues and struts
Statues of Guardians
guardians-nyatapola
Whenever you pass through those stone steps of Nyatapola. Once in a time, a thought arises in mind, why these stone images are here, and what are they?
Symphonically, there are five plinths in Nyatapola, where each plinth has a pair of stone images.
It is said that they are the guardians of the Goddess Shiddhi Laxmi. From the bottom to the end of the plinth, there is a stone image of Wrestlers, Elephants, Lions, Griffins, and two Goddesses named Sighini and Baghini respectively.
They all are placed according to their strengths. The first two wrestlers named Jai and Pratap are said to be 10 times stronger than a normal man. Along with that, the elephants, who are considered as 10 times stronger species than those wrestlers are placed above them.
With such a ratio, the guardians are placed.
Statue of Shiddhi Laxmi
The foremost deity of the Nyatapola temple is the Goddess Shiddhi Laxmi. Since it is a powerful tantric deity. No ordinary people are allowed to enter this temple. So, no one knows how the deity looks besides the priests. But, we can imagine her in our thoughts.
The studies about Nyatapola say that the statue of Shiddhi Laxmi is 9 feet tall, carved in black stone. That statue has 9 heads but in three rows. The very first row has 5 heads and is called Chandi Bhadra kali. Similarly, the second row with three heads is called Pratysngira.
Last, but not least, the top acne is called Shiddhi Laxmi. This immense and bold statue had nine pairs of hands. Also, there are two figures of Mahakal Bhairav and Masan Bhairav on either side of the statue.
Drighu Ganesh
With those stone guardians, you may have noticed the four Ganesh temples in four corners of the Nyatapola. They are the temple of Drighu Ganesh. They were established over there for the protection of the temple. Two out of the four temple faces the south. And the rest of the two to the north.
Drighu Ganesh Temple
Although there are only four temples, there are actually five Ganesha whom people do worship. The very southwestern temple is also called the temple of Jor Ganesha, which means a pair of Ganesha. Counting those two Ganesha in one temple and another three of the remaining temples makes a total of five Ganesha.
The stone tap
Right behind the temple, a north-facing stone tap unknowingly adds beauty to this structure.  The first plinth of the temple holds this tap.
The struts
Just like the stone images, the strut images are also magnificent. Probably, they are the best show of woodcarving. The very first and the second floor’s struts have wooden images of Astamatrika. That means the images of Bramayani, Maheshwari, Kumari, Vaishnavi, Barahi, Indrayani, Mahakali, and Mahalaxmi.
Continuously, the struts of the third tier have an image of Lokeshwor. In the same way, the images of Mahalaxmi and Shiva-Shakti are carved in the fourth and fifth tier’s struts respectively. Therefore, this eye-glancing structure is also filled with the most artistic woodcarvings.
Nyatapola Temple
PC: OLYMPUS DIGITAL CAMERA
Some interesting facts about the Nyatapola temple
The temple is not associated with any Jatras or the Guthi. That sounds quite unusual cause almost all of the important temples are associated with the jatras as well as with the Guthis and Bhajans. Especially in Bhaktapur.
Because of its five stories, it is locally denominated as a Panch Tale Mandir. Where, those five stories indicate the earth, water, fire, air, and the sky from down to up respectively.
Similarly, Nyatapola the name itself means the five-stroyed, where Nyata means five, and Pola means the tiers in Newa bhasa. 
Also, this grand temple stands as the tallest Nepalese roofing-styled temple of Bhaktapur. As well as Nepal with a height of 33meters.
The whole structure of Nyatapola was raised within 214 days. During that era, meanwhile, there was no advanced construction equipment at all.
It is said that the wind bells hanged around the tiers of Nyatapola were in several 529. But placing them in the numbers 48, 80, 104, 128, and 168, from top to bottom respectively, outlasts a wind bell. That was then, considered as the unfortunate one wind bell. And, the fact is that till today no one knows about it, whether where it was placed. Or, what did happen to it?
Nyatapola, at present
Considering the minor damages of the newest quake, the Bhaktapur Municipality did consider renovating it. Along with the other historical sites. The renovation of Nyatapola was completed with half of its estimated budget.
Nonetheless, that became possible through the support of the residents of Bhaktapur. Therefore, the Nyatapola is now completely restored. In the year, 2020 A.D.
Read more about the Nyatapola temple"
